pizza_name,pizza_name_eng,pizza_url
Двойная пепперони,double-pepperoni,https://dodopizza.ru/Kaliningrad/Product/double-pepperoni
Крэйзи пицца ,crazy-pizza,https://dodopizza.ru/Kaliningrad/Product/crazy-pizza
Дон Бекон,pizza-don-bekon,https://dodopizza.ru/Kaliningrad/Product/pizza-don-bekon
Грибы и ветчина,gribvetchina,https://dodopizza.ru/Kaliningrad/Product/gribvetchina
Пицца-пирог,pizza-pirog,https://dodopizza.ru/Kaliningrad/Product/pizza-pirog
Маргарита,pizza-margarita,https://dodopizza.ru/Kaliningrad/Product/pizza-margarita
Сырная,syrnaya-pizza,https://dodopizza.ru/Kaliningrad/Product/syrnaya-pizza
Гавайская,gavayskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/gavayskaya-pizza
Додо,pizza-dodo,https://dodopizza.ru/Kaliningrad/Product/pizza-dodo
Четыре сезона,pizza-chetyre-sezona,https://dodopizza.ru/Kaliningrad/Product/pizza-chetyre-sezona
Овощи и грибы,ovoshi-i-griby,https://dodopizza.ru/Kaliningrad/Product/ovoshi-i-griby
Итальянская,italyanskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/italyanskaya-pizza
Мексиканская,meksikanskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/meksikanskaya-pizza
Морская,morskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/morskaya-pizza
Мясная,myasnaya-pizza,https://dodopizza.ru/Kaliningrad/Product/myasnaya-pizza
Пепперони,pizza-pepperoni,https://dodopizza.ru/Kaliningrad/Product/pizza-pepperoni
Ранч пицца,ranch-pizza,https://dodopizza.ru/Kaliningrad/Product/ranch-pizza
Сырный цыплёнок,pizza-syrnyi-cyplenok,https://dodopizza.ru/Kaliningrad/Product/pizza-syrnyi-cyplenok
Цыплёнок барбекю,pizza-cyplenok-barbekyu,https://dodopizza.ru/Kaliningrad/Product/pizza-cyplenok-barbekyu
Чизбургер-пицца,chizburger-pizza,https://dodopizza.ru/Kaliningrad/Product/chizburger-pizza
Комбо №1,1,https://dodopizza.ru/Kaliningrad/ComboDetails/1
Комбо №2,2,https://dodopizza.ru/Kaliningrad/ComboDetails/2
Комбо №3,3,https://dodopizza.ru/Kaliningrad/ComboDetails/3
